Item Description,GTIN,Pack Type,Price,UOM,Category
Antone's - Original Sandwich,78001,1,$3.70,1,
Antone's - Roast Beef Sandwich,78002,1,$4.35,1,
Antone's - Turkey & Swiss Croissant Sandwich,78003,1,$4.35,1,
APTZR BEAN GREEN ONION BTRD,10050665027574,6/2 LB,$50.07,CS,BREADED VEGETBL
APTZR BEEF DLX WELLINGTON,00734730005287,4/25 CT,$148.63,CS,HOT
APTZR BEEF EMPANADA,00734730005133,4/25CT,$86.64,CS,HOT
APTZR BITE MAC & FOUR CHEESE,10889356019860,2/50 CT,$80.00,CS,MISC.
APTZR CHEESE & MAC WDG BTRD,10072714103350,6/3 LB,$95.83,CS,BATTERD VEGETBL
APTZR CHEESE BRD MOZZ TRIANG,10074865871034,2/4 LB,$52.56,CS,BREADED CHEESE
APTZR CHEESE CURD BRD WISCON,10734730629893,2/5 LB,$55.02,CS,BREADED CHEESE
APTZR EGG ROLL BAC EGG CHS POT,10072180702491,36/3 OZ,$37.13,CS,MISC.
APTZR EGGROLL BUFFALO CHKN,10072180702569,36/3 OZ,$38.58,CS,ASIAN APPETZR
APTZR EGGROLL PHLY CHSTK 3OZ,10072180702507,36/3 OZ,$46.52,CS,MISC.
APTZR EGGROLL SANTA FE CHKN,00074865606486,1/15LB,$91.64,CS,MEXICN APPETZRS
APTZR PEPPER JAL CHDR CHS,10889356030124,4/4 LB,$91.85,CS,BRD STFD JALAPN
APTZR PICKLE CHIPS BRD,10072714109116,6/2.5LB,$61.56,CS,BREADED VEGETBL
APTZR POTSTICKER CHICKEN,00074865410175,120/1OZ,$57.05,CS,ASIAN APPETZR
APTZR POTSTICKER CHKN TERIYAKI,10760941261256,3/40 OZ,$37.53,CS,ASIAN APPETZR
APTZR POTSTICKER KALE AND VEG,10760941261737,150/.8 OZ,$44.17,CS,ASIAN APPETZR
APTZR POTSTICKER PORK & VEG,10760941972602,150/.8 OZ,$38.10,CS,ASIAN APPETZR
APTZR POTSTICKER PORK 1OZ,00074865015165,120/1OZ,$55.81,CS,MISC.
APTZR POTSTICKER WW CHKN&VEG,10760941104515,400/.8 OZ,$72.33,CS,ASIAN APPETZR
APTZR QUICHE ASST MINI,00734730006185,4/25 CT,$87.86,CS,HOT
APTZR SPANAKOPITA,00734730006284,5/20CT,$89.43,CS,HOT
APTZR SPRING ROLL VEG,10072180690224,150/.88 OZ,$42.35,CS,ASIAN APPETZR
APTZR SPRINGROLL VEGETABLE 1OZ,00030499120361,1/100 CT,$79.20,CS,HOT
APTZR TORNADO RANCHERO STK&CHS,10071007863902,24/3OZ,$21.80,CS,MISC.
APTZR ZUCCHINI BREADED OVL CUT,10074865871140,6/2.5 LB,$50.06,CS,BREADED VEGETBL
AVOCADO CHUNK SPREAD W/TOAST,10040822344880,8/2.7 OZ,$23.95,CS,MISC.
AVOCADO HASS FRESH PULP HPP,10074865816684,4/4#BAG,$91.28,CS,PULP CRM SMOOTH
AVOCADO HASS FRSH HAND SCOOPED,10616112797584,8/2 LB,$76.12,CS,SPLIT PACK
Bagel Deli Bake Cheddy,10044500325505,24/4.5 oz,$35.49,CS,Sandwiches
Bagel Dog Bf Frnk W  Ppy Sd,10611665120018,12/5 oz,$25.74,CS,Sandwiches
Bagel Dog Jalapeno Cheddar,10611665120223,12/5 oz,$24.27,CS,Sandwiches
Bagel Dog Polish Sausage,10611665120216,12/5 oz,$24.27,CS,Sandwiches
Bagel Everything Good Stuff,00041433128152,8/7.1 oz,$35.10,CS,Sandwiches
Black Forest Ham,0,1,$3.55,1,
Bowl Broccoli   Cheddar Baked,10042272008114,12/9.5 oz,$71.03,CS,Meals
Bowl Chicken Adobo Power,20072655001316,8/9.75 oz,$37.62,CS,Meals
Bowl Chicken Enchilada,10891627009296,8/9 oz,$31.93,CS,Meals
Bowl Korean Beef Power,20072655001347,8/9.5 oz,$37.59,CS,Meals
Bowl Mega Buffalo Chkn Mac Chs,20031000126104,8/14 oz,$28.48,CS,Meals
Bowl Mega Chicken Fried Steak,20031000126111,8/14 oz,$28.48,CS,Meals
Bowl Mega Country Fried Chickn,20031000126128,8/14 oz,$28.48,CS,Meals
Bowl Pesto Tortellini,10042272001764,12/9.5 oz,$71.03,CS,Meals
Bowl Ravioli,10042272001658,12/9.5 oz,$71.03,CS,Meals
BROTH BEEF CON BAG IN BOX,00701809320527,1/4.5 LT,$82.69,CS,BROTH
BROTH CHICKEN CONC,70000000000009,1/4.5 L,$82.69,CS,BROTH
BROTH VEGETABLE CONC,70101809301851,1/4.5L,$82.69,CS,BROTH
Brown Sugar Cinnamon Sticks,,6/12/2.75 oz,$67.19,CS,Fresh Pastry(to ord)
Brownie Oreo,20072250051075,6/8/3 oz,$65.23,CS,Fresh Pastry(to ord)
Buffalo Chicken Tender Wrap,563704,1,$3.08,1,
BUN PLAIN BAO FLD BTRFLY SHPD,00078024040319,6/24 CT,$62.36,CS,FULLY BAKED
Burrito Bean   Rice Non Dairy,10042272000705,12/6 oz,$36.62,CS,Meals
BURRITO BEEF BEAN RDCHILI PRBK,00075278090312,60/5.75OZ,$64.33,CS,BURRITO/CHIMICH
Burrito Chorizo Breakfast,10611665888116,12/8 oz,$41.18,CS,Meals
Cake Chocolate Cream Fill 2ct,20888109300320,6/6/2.55 oz,,CS/BX,Fresh Pastry(to ord)
